sim_id,split,tendon_l1,visco_g1,visco_t1,ramp_time,mse,rmse,mae,max_ae,peak_true,peak_pred,peak_abs_err,final_true,final_pred,final_abs_err
full_v2_001,val,3.0,0.30000001192092896,0.10000000149011612,0.10000000149011612,6.757045048289001e-05,0.008220124724290382,0.006635924335569143,0.019287407398223877,0.7667508125305176,0.7474634051322937,0.019287407398223877,0.6069782972335815,0.5907264351844788,0.016251862049102783
full_v2_006,val,3.0,0.30000001192092896,0.20000000298023224,0.20000000298023224,4.6718578232685104e-05,0.0068350989921642765,0.0050237830728292465,0.018920600414276123,0.7667537927627563,0.7478331923484802,0.018920600414276123,0.610065758228302,0.6037538647651672,0.006311893463134766
full_v2_007,val,3.0,0.30000001192092896,0.20000000298023224,0.30000001192092896,4.640849874704145e-05,0.00681237834732052,0.00495937978848815,0.015270829200744629,0.7390103936195374,0.7237395644187927,0.015270829200744629,0.6111624836921692,0.6050422191619873,0.006120264530181885
full_v2_032,val,3.0,0.44999998807907104,0.4000000059604645,0.4000000059604645,5.091352795716375e-05,0.007135371606101798,0.005384863819926977,0.014580607414245605,0.7226519584655762,0.7080713510513306,0.014580607414245605,0.536358118057251,0.5317903757095337,0.004567742347717285
full_v2_045,val,3.0,0.6000000238418579,0.4000000059604645,0.10000000149011612,8.280128531623632e-05,0.009099521158623475,0.007299746386706829,0.02741873264312744,0.799902617931366,0.7724838852882385,0.02741873264312744,0.40254271030426025,0.3944791853427887,0.008063524961471558
full_v2_046,val,3.0,0.6000000238418579,0.4000000059604645,0.20000000298023224,6.179630872793496e-05,0.007861062824321845,0.006474158726632595,0.019858479499816895,0.753178060054779,0.7333195805549622,0.019858479499816895,0.4096989333629608,0.4060973525047302,0.003601580858230591
full_v2_047,val,3.0,0.6000000238418579,0.4000000059604645,0.30000001192092896,5.1975363021483645e-05,0.00720939408143872,0.005807226989418268,0.015858113765716553,0.7130206227302551,0.6971625089645386,0.015858113765716553,0.4181751608848572,0.41509467363357544,0.0030804872512817383
full_v2_056,val,3.0,0.75,0.20000000298023224,0.4000000059604645,5.498150858329609e-05,0.007414951691231447,0.006494696252048016,0.013038009405136108,0.5099451541900635,0.5023671984672546,0.007577955722808838,0.2378360778093338,0.2364705502986908,0.0013655275106430054
full_v2_067,val,4.0,0.30000001192092896,0.10000000149011612,0.30000001192092896,9.202228102367371e-05,0.009592824454959745,0.007329845800995827,0.022669434547424316,0.9069448113441467,0.900850772857666,0.006094038486480713,0.8001227378845215,0.7853682041168213,0.014754533767700195
full_v2_072,val,4.0,0.30000001192092896,0.20000000298023224,0.4000000059604645,8.174419053830206e-05,0.009041249390338818,0.006518774200230837,0.02115526795387268,0.9443689584732056,0.9330810308456421,0.011287927627563477,0.8076425790786743,0.8003814816474915,0.007261097431182861
full_v2_075,val,4.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,7.717200060142204e-05,0.008784759564235212,0.006696347147226334,0.021520406007766724,1.0076123476028442,0.9928889870643616,0.014723360538482666,0.8210870027542114,0.8172915577888489,0.003795444965362549
full_v2_083,val,4.0,0.44999998807907104,0.10000000149011612,0.30000001192092896,9.883460006676614e-05,0.009941559237200477,0.00840351078659296,0.019455701112747192,0.7980763912200928,0.7914721965789795,0.006604194641113281,0.634937047958374,0.6277793645858765,0.007157683372497559
full_v2_084,val,4.0,0.44999998807907104,0.10000000149011612,0.4000000059604645,8.742944919504225e-05,0.009350371607323544,0.007648414466530085,0.01921096444129944,0.7622824907302856,0.7588914036750793,0.003391087055206299,0.6351332664489746,0.6266916394233704,0.008441627025604248
full_v2_085,val,4.0,0.44999998807907104,0.20000000298023224,0.10000000149011612,0.00011017225187970325,0.010496297055614577,0.008761919103562832,0.029264748096466064,1.0229222774505615,0.9936575293540955,0.029264748096466064,0.6396793723106384,0.6294422745704651,0.01023709774017334
full_v2_093,val,4.0,0.44999998807907104,0.4000000059604645,0.10000000149011612,0.00012598111061379313,0.011224130728648573,0.009510155767202377,0.028824567794799805,1.0682404041290283,1.0394158363342285,0.028824567794799805,0.6835381388664246,0.6786823272705078,0.004855811595916748
full_v2_102,val,4.0,0.6000000238418579,0.20000000298023224,0.20000000298023224,0.0001226939493790269,0.011076730085139156,0.009667865000665188,0.021541118621826172,0.8929401636123657,0.8713990449905396,0.021541118621826172,0.4754035770893097,0.4711829125881195,0.0042206645011901855
full_v2_103,val,4.0,0.6000000238418579,0.20000000298023224,0.30000001192092896,0.00010487172403372824,0.010240689626862453,0.008981169201433659,0.018757343292236328,0.8200784921646118,0.803719162940979,0.016359329223632812,0.4785328507423401,0.4769066572189331,0.0016261935234069824
full_v2_112,val,4.0,0.6000000238418579,0.4000000059604645,0.4000000059604645,8.372861339012161e-05,0.00915033405893586,0.0071073537692427635,0.02067035436630249,0.8929423689842224,0.8810908794403076,0.011851489543914795,0.5672377347946167,0.5600419640541077,0.007195770740509033
full_v2_118,val,4.0,0.75,0.20000000298023224,0.20000000298023224,0.00010905776434810832,0.01044307255304244,0.009090643376111984,0.019327491521835327,0.8351828455924988,0.8171786069869995,0.018004238605499268,0.3064473569393158,0.29988783597946167,0.006559520959854126
full_v2_137,val,5.0,0.30000001192092896,0.30000001192092896,0.10000000149011612,0.0001282479934161529,0.011324663059718505,0.009490716271102428,0.029240012168884277,1.3240426778793335,1.2948026657104492,0.029240012168884277,1.0067081451416016,0.9975306987762451,0.009177446365356445
full_v2_140,val,5.0,0.30000001192092896,0.30000001192092896,0.4000000059604645,0.00014557072427123785,0.012065269341015055,0.008867333643138409,0.028153270483016968,1.2112512588500977,1.2021008729934692,0.009150385856628418,1.0203778743743896,1.0147747993469238,0.00560307502746582
full_v2_142,val,5.0,0.30000001192092896,0.4000000059604645,0.20000000298023224,0.00010657127131707966,0.010323336249346898,0.007292924914509058,0.02607637643814087,1.3002700805664062,1.2754161357879639,0.024853944778442383,1.0329880714416504,1.0262421369552612,0.00674593448638916
full_v2_145,val,5.0,0.44999998807907104,0.10000000149011612,0.10000000149011612,0.00017182320880237967,0.013108135214529169,0.011521408334374428,0.026013612747192383,1.1721699237823486,1.1461563110351562,0.026013612747192383,0.7863803505897522,0.7679458260536194,0.018434524536132812
full_v2_150,val,5.0,0.44999998807907104,0.20000000298023224,0.20000000298023224,0.00012139077443862334,0.011017748156434842,0.00904611311852932,0.02504289150238037,1.1721774339675903,1.14713454246521,0.02504289150238037,0.7944931983947754,0.7856409549713135,0.008852243423461914
full_v2_161,val,5.0,0.6000000238418579,0.10000000149011612,0.10000000149011612,0.00018724116671364754,0.013683609418338698,0.011809769086539745,0.033638596534729004,1.102167010307312,1.068528413772583,0.033638596534729004,0.5790106654167175,0.5557963848114014,0.023214280605316162
full_v2_183,val,5.0,0.75,0.20000000298023224,0.30000001192092896,0.00011139584239572287,0.0105544228831198,0.008737105876207352,0.023501992225646973,0.9197952747344971,0.9023351073265076,0.017460167407989502,0.38711017370224,0.3793180584907532,0.007792115211486816
full_v2_184,val,5.0,0.75,0.20000000298023224,0.4000000059604645,0.00012097755097784102,0.010998979542568529,0.008983232080936432,0.02365964651107788,0.8341321349143982,0.8243631720542908,0.009768962860107422,0.3944186866283417,0.3880394995212555,0.006379187107086182
full_v2_187,val,5.0,0.75,0.30000001192092896,0.30000001192092896,0.0001111953824874945,0.01054492211860735,0.008218328468501568,0.024489283561706543,1.0317599773406982,1.0117868185043335,0.019973158836364746,0.44072815775871277,0.4340835213661194,0.006644636392593384
full_v2_194,val,6.0,0.30000001192092896,0.10000000149011612,0.20000000298023224,0.00018541121971793473,0.01361657885512858,0.01091853529214859,0.03377312421798706,1.3796175718307495,1.371047019958496,0.008570551872253418,1.1735163927078247,1.1507269144058228,0.022789478302001953
full_v2_207,val,6.0,0.30000001192092896,0.4000000059604645,0.30000001192092896,0.00015739482478238642,0.012545709417262399,0.008577222004532814,0.03271394968032837,1.5011321306228638,1.48252272605896,0.01860940456390381,1.2332371473312378,1.2259876728057861,0.00724947452545166
full_v2_216,val,6.0,0.44999998807907104,0.20000000298023224,0.4000000059604645,0.00016724446322768927,0.012932303090621147,0.009698129259049892,0.02998673915863037,1.2519207000732422,1.2382725477218628,0.013648152351379395,0.9531849026679993,0.9427054524421692,0.010479450225830078
full_v2_230,val,6.0,0.6000000238418579,0.20000000298023224,0.20000000298023224,0.00017055643547791988,0.013059725704543716,0.010914070531725883,0.028958886861801147,1.306318998336792,1.2783689498901367,0.027950048446655273,0.7043372392654419,0.6912400126457214,0.013097226619720459
