sim_id,split,tendon_l1,visco_g1,visco_t1,ramp_time,mse,rmse,mae,max_ae,peak_true,peak_pred,peak_abs_err,final_true,final_pred,final_abs_err
full_v2_001,val,3.0,0.30000001192092896,0.10000000149011612,0.10000000149011612,7.01255994499661e-05,0.008374102904190162,0.0072350637055933475,0.0276566743850708,0.7667508125305176,0.7820291519165039,0.015278339385986328,0.6069782972335815,0.6114908456802368,0.0045125484466552734
full_v2_006,val,3.0,0.30000001192092896,0.20000000298023224,0.20000000298023224,2.5455563445575535e-05,0.005045350676174604,0.0036739769857376814,0.012508153915405273,0.7667537927627563,0.7734389901161194,0.006685197353363037,0.610065758228302,0.6131442785263062,0.0030785202980041504
full_v2_007,val,3.0,0.30000001192092896,0.20000000298023224,0.30000001192092896,2.7463544029160403e-05,0.0052405671476625885,0.003368260571733117,0.023610413074493408,0.7390103936195374,0.7402130961418152,0.001202702522277832,0.6111624836921692,0.6115356683731079,0.0003731846809387207
full_v2_032,val,3.0,0.44999998807907104,0.4000000059604645,0.4000000059604645,0.0001999074884224683,0.014138864467221839,0.01253135409206152,0.027711868286132812,0.7226519584655762,0.7485150694847107,0.02586311101913452,0.536358118057251,0.5401480197906494,0.0037899017333984375
full_v2_045,val,3.0,0.6000000238418579,0.4000000059604645,0.10000000149011612,1.270225675398251e-05,0.0035640225523953283,0.00291636330075562,0.013733625411987305,0.799902617931366,0.8048758506774902,0.004973232746124268,0.40254271030426025,0.4027797281742096,0.00023701786994934082
full_v2_046,val,3.0,0.6000000238418579,0.4000000059604645,0.20000000298023224,1.9303097360534593e-05,0.004393529032626801,0.003732354147359729,0.010768115520477295,0.753178060054779,0.759482741355896,0.006304681301116943,0.4096989333629608,0.40696296095848083,0.0027359724044799805
full_v2_047,val,3.0,0.6000000238418579,0.4000000059604645,0.30000001192092896,4.650143091566861e-05,0.006819195767513102,0.004773837048560381,0.016653358936309814,0.7130206227302551,0.727203905582428,0.014183282852172852,0.4181751608848572,0.4170227646827698,0.0011523962020874023
full_v2_056,val,3.0,0.75,0.20000000298023224,0.4000000059604645,2.5627141440054402e-05,0.005062325694782429,0.0039001002442091703,0.018877387046813965,0.5099451541900635,0.5267480611801147,0.01680290699005127,0.2378360778093338,0.24220743775367737,0.004371359944343567
full_v2_067,val,4.0,0.30000001192092896,0.10000000149011612,0.30000001192092896,4.11273940699175e-05,0.006413064327598586,0.006029664073139429,0.013943666592240334,0.9069448113441467,0.9095671772956848,0.002622365951538086,0.8001227378845215,0.8067833185195923,0.006660580635070801
full_v2_072,val,4.0,0.30000001192092896,0.20000000298023224,0.4000000059604645,2.9524533601943403e-05,0.005433648277349519,0.004374590702354908,0.02196943759918213,0.9443689584732056,0.9382061958312988,0.006162762641906738,0.8076425790786743,0.8121584057807922,0.00451582670211792
