epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
1,0.48378143991742817,0.48378143997391204,0.6303907302679311,0.4875248736805386,0.48752487292271285,0.6425253223358036
2,0.4019284929547991,0.40192849114731405,0.5729017766045609,0.34247812297609115,0.3424781221523675,0.5345473914201777
3,0.2618672272988728,0.261867228573291,0.4495340476977094,0.2251590606239107,0.22515906254318685,0.4197963716708342
4,0.18413913959548586,0.1841391396449093,0.3613397706263835,0.1723792403936386,0.17237923592081908,0.35832010651900004
5,0.145572658096041,0.14557265738293165,0.31508647138771356,0.13741506305005816,0.13741506510113008,0.31461403184071507
6,0.1163797357252666,0.11637973672432574,0.27995303546441896,0.11169052537944582,0.11169052229460068,0.2797800046162687
7,0.09592480354365848,0.09592480355601433,0.25190685880435526,0.09105147504144245,0.09105147282150716,0.24929602492771602
8,0.07954293524935133,0.07954293657495805,0.2293336412348021,0.07535728895001942,0.07535729057687367,0.22574300855612348
9,0.06741698441051301,0.06741698481296086,0.21128546799056708,0.06381394465764363,0.06381394337263471,0.20776433190830246
10,0.05907355479541279,0.059073554822772184,0.19900010575956711,0.05510317658384641,0.05510317547799738,0.1931355435786292
11,0.05300375836945716,0.053003758057913096,0.18878358191603367,0.048978316287199654,0.048978317370396283,0.1817747150882955
12,0.04895458778455144,0.048954587501249335,0.18178500961958022,0.044468810160954796,0.044468809057165076,0.172384973782212
13,0.04604240471408481,0.046042404590526255,0.1759410560823001,0.04165454333027204,0.041654543562973975,0.16601249774956056
14,0.04447203803630102,0.044472037828016606,0.17262681347870257,0.03957243346505695,0.03957243318910952,0.16122371785346812
15,0.04324032650107429,0.04324032655402796,0.16976471869083018,0.03831895151072078,0.03831895139745878,0.15840164108655938
16,0.042615987005687896,0.042615987203381576,0.1680608820333438,0.037403442379501134,0.03740344250511899,0.15630162810014056
17,0.0421399644442967,0.04213996431720791,0.16669884351609698,0.03680607593721814,0.03680607651794333,0.1548970202967368
18,0.04176269400687445,0.041762694056297865,0.16568223528036205,0.035949366788069405,0.03594936752530209,0.15295016455874383
19,0.03707901920591082,0.03707901930475766,0.15685992364040682,0.027476658009820513,0.027476658407267186,0.13230187883688113
20,0.024733832460783776,0.024733832706577037,0.12421625097112558,0.02239446010854509,0.022394460232103643,0.11237420608748251
21,0.019915759031261717,0.019915758899760116,0.10740591942543838,0.018762271023458905,0.018762270873129334,0.10334722794110503
22,0.016980416451891262,0.016980416626197075,0.09814882108990657,0.016167948229445353,0.016167947770219404,0.09590108543552042
23,0.014093087099137761,0.014093087143707096,0.08905513296192841,0.013529942474431463,0.01352994266697687,0.08704787950742436
24,0.011815177321079232,0.011815177182737783,0.08188449960838305,0.011302954517304897,0.011302954192448875,0.07884209033466295
25,0.009998570018935771,0.009998570005917995,0.07461676815623103,0.009638461905221144,0.009638461702894018,0.0722331926926781
26,0.008620802800925005,0.008620802866455165,0.06951399037013882,0.008526199393802218,0.008526199492649059,0.06781118149385722
27,0.007600480557552406,0.007600480559538168,0.06458719498002397,0.007365679471857018,0.007365679332338821,0.06297168868757072
28,0.0066893090981812705,0.006689309057142181,0.060366670770742294,0.006648996948368019,0.006648997037433141,0.0593062011229524
29,0.006012472124504191,0.006012472163667839,0.056778930595378065,0.005919025072620975,0.0059190251802198795,0.05600352627325612
30,0.005378251074857655,0.005378251193231159,0.05344368591886989,0.0052957771759894155,0.005295777136347714,0.053389176536884804
31,0.005020242450492722,0.005020242425339732,0.05241503666938975,0.004864429848061668,0.004864429821290648,0.05058036896983453
32,0.00456707463377998,0.0045670746373102245,0.04971163884578399,0.004501755814999342,0.004501755953230471,0.04793380570714813
33,0.004076865834317037,0.004076865859800988,0.04664609602237024,0.0042102464681698214,0.004210246472545854,0.0469801197927126
34,0.003772240376011247,0.0037722403447906488,0.04507490143169303,0.0037171970018082196,0.003717197048657503,0.04533455133306315
35,0.0035111086797856147,0.003511108611607772,0.042890298595306464,0.003450182576974233,0.0034501826058045615,0.04381418412663516
36,0.0033590447357190506,0.0033590447222048344,0.04320869884115914,0.003428243255863587,0.0034282432859809838,0.04312436761218188
37,0.0030894120489912374,0.0030894120760196703,0.04099066340508153,0.0032585400881038774,0.0032585399990387553,0.04168179207839249
38,0.0028475247367861726,0.0028475247212310334,0.03943860194774014,0.0028628894231385654,0.0028628894741064676,0.03944940076736273
39,0.0026801498385057563,0.002680149823391898,0.03835153206918116,0.0029707251427074275,0.002970725149657596,0.04010020256569664
40,0.002452484875296553,0.002452484876785875,0.036788682750095496,0.0024735090943674245,0.002473509100802766,0.03657923329924272
41,0.002289611380547285,0.002289611393454741,0.034735283335360606,0.002351169189852145,0.002351169200019984,0.03573948589723502
42,0.002130064991347137,0.0021300649747439566,0.03465811072636261,0.002137644992520412,0.0021376449670364606,0.03355351622556704
43,0.001940484701966246,0.001940484706103251,0.03231045488666172,0.002050536788172192,0.0020505368149432114,0.03320536183810089
44,0.0018955058185383677,0.0018955058211033108,0.03245393870086417,0.0018678295115629833,0.001867829534215384,0.031099617316486954
45,0.001723574540976967,0.0017235745287314322,0.03029036617934266,0.0017262932378798723,0.0017262932969563042,0.03105148865808895
46,0.0016475837189881574,0.0016475837184365568,0.030398620301811258,0.001612000193239914,0.0016120002373863544,0.029349835291957907
47,0.001509310151006849,0.0015093101564952758,0.02812650434724021,0.0015551265225642258,0.001555126483694765,0.029787753154191608
