epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
1,0.7372858410789853,0.06808522198895543,0.20915897173272635,0.3928816318511963,0.03628095412794696,0.14942120055983646
2,0.30715754344349816,0.02836469642586743,0.13032062063282684,0.2087236444155375,0.019274742185509355,0.1056612287851379
3,0.162185556831814,0.014977148036147938,0.09595000983922579,0.14916973974969652,0.01377519288070957,0.09505363536052377
4,0.12549845767872675,0.011589250246005949,0.08345725541429988,0.10031593011485206,0.00926375151866704,0.07444703611897921
5,0.09852503701334908,0.009098369175437163,0.07472622719344243,0.06983030173513624,0.00644853208656796,0.06115428909799419
6,0.07708696346907389,0.00711865397997587,0.06398812664314854,0.05545530882146624,0.005121062907677055,0.053177707560356315
7,0.060323964627016155,0.005570662244748403,0.0573839374244905,0.04540276692973243,0.004192753085910846,0.0521027057325069
8,0.05106824157493455,0.004715935649026827,0.05326917571949185,0.030987756533755198,0.0028615879577586108,0.04142370640473711
9,0.038148222757237296,0.003522826495031643,0.046558993768138476,0.02613100678556495,0.002413087750482849,0.038654783406001945
10,0.0296816753134841,0.00274097673759108,0.04051717958357684,0.020659714109367795,0.0019078368373573519,0.03599492695662381
11,0.024070213238398235,0.0022227820189918168,0.03715162134882229,0.0183334785203139,0.001693018929875312,0.03136059458971419
12,0.020850608036631628,0.0019254652040599505,0.034147246983683356,0.022772917317019567,0.0021029823455051403,0.03679709120835304
13,0.02119523748045876,0.001957290222282744,0.034160685522300435,0.018246703056825533,0.001685005614215857,0.03143298210789315
14,0.014466664354716028,0.0013359351142326595,0.028327782609908397,0.011639220433102714,0.0010748327503288695,0.02475001997813261
15,0.011727399148401759,0.0010829755294608212,0.025586020576533083,0.01158076897263527,0.0010694349385414945,0.02538439896701119
16,0.011822936524237906,0.001091797991235006,0.025503476121871288,0.009473653096291754,0.0008748517371199287,0.0225303509144443
17,0.010522252303503808,0.0009716853615910598,0.023933361390562766,0.008296968415379524,0.0007661898049483186,0.021805184397531385
18,0.010583776581500257,0.0009773669155873667,0.024258842685159928,0.00910150207993057,0.0008404850877405465,0.02267980074737532
19,0.011111439915285223,0.0010260943622561998,0.02491546428421046,0.010706611391570833,0.000988710175369773,0.02585588468906957
20,0.01095021857569615,0.0010112061994218679,0.024973515395557845,0.007959249118963877,0.0007350029142737191,0.021743825023644796
21,0.009190746982182776,0.0008487264583585839,0.02223984355244188,0.007834503013226721,0.0007234830110688576,0.021567985852032224
22,0.010234113915690355,0.0009450769747808854,0.02376499980356252,0.016326918370193906,0.0015077216312857607,0.030638009425089992
23,0.011201707779296808,0.001034430193974491,0.024993749626212085,0.006227513775229454,0.0005750844760650162,0.017747431449826875
24,0.009423252860350268,0.0008701974465592273,0.022976352603083623,0.007893380812472768,0.0007289202174407596,0.02135395410642102
25,0.009808837214396113,0.0009058044861063972,0.023409098535034787,0.00668692702634467,0.000617509366992826,0.01968263881255277
26,0.008516098816125165,0.0007864255577262276,0.021514442288403938,0.007180474543323119,0.0006630864054079936,0.01931425245378873
27,0.007074465531678427,0.0006532968996938612,0.019794911237950293,0.006081251194700599,0.0005615777987317528,0.018799839525871213
28,0.008019119767206056,0.000740531696947907,0.021183483240813955,0.006138345899267329,0.0005668502027089587,0.018278456709541754
29,0.007468532061293011,0.0006896872704443111,0.020153548869440496,0.006739046114186446,0.0006223223926350186,0.019715632438132485
30,0.0067807939347057115,0.0006261775612096825,0.018935734162085487,0.008032009729908572,0.0007417220941494024,0.022332047941672862
31,0.008972711151554472,0.000828591837077535,0.022758019927891757,0.00792642610354556,0.0007319717923866049,0.022391430246955193
32,0.007707211255495038,0.0007117283013131884,0.021084123639466212,0.006277584108627505,0.0005797082676684546,0.019008327545284105
33,0.006176432151170004,0.0005703673236207978,0.01861329062858822,0.00550847963636948,0.0005086847267439512,0.018218946166958447
34,0.006288522233565648,0.0005807183423445592,0.018684328520249992,0.006020073468486468,0.0005559282672873118,0.019082654570267962
35,0.006692448653103341,0.000618019235470204,0.01926171296695148,0.007882224913272593,0.000727890052144339,0.021681993557248345
36,0.006666045170277357,0.0006155810263506526,0.02004384712087292,0.006345744762155745,0.0005860026450101811,0.01921280185579265
37,0.0069625793645779295,0.0006429646759907574,0.0194639130470115,0.00689342576596472,0.0006365786090847404,0.01997181550780339
38,0.006311916502281314,0.0005828787124120237,0.01877570813144448,0.007723721132303278,0.0007132528779123158,0.021869717545770294
39,0.00598355322810156,0.0005525557690111841,0.01797195769858795,0.006500936475478941,0.000600333929457277,0.019629612622701246
40,0.0069671193625600565,0.0006433838960317265,0.02027819795479737,0.004902161308564246,0.0004526937721248751,0.01757973976198516
41,0.005152990287613301,0.00047585680053517085,0.016809599118841622,0.003971027417315377,0.00036670754402628786,0.01491495652248874
42,0.005023986699857882,0.0004639438411066019,0.016643121891523307,0.007635245927506023,0.0007050826346564517,0.021087240553350328
43,0.0068490938283503056,0.0006324847398056178,0.019424034955517935,0.004697626146177451,0.000433805878976882,0.01648617858317361
44,0.005629473055402438,0.0005198579720201382,0.01771643714751149,0.003483763029281464,0.0003217107489202614,0.01398452090057238
45,0.00468543041053982,0.00043267963661087886,0.015986590892662512,0.0035833020746293995,0.00033090273077940004,0.014227891772277056
46,0.004604138267625656,0.0004251726206460007,0.015869850062894698,0.002847205136074788,0.0002629273164875274,0.012229692019962882
47,0.003954989037343434,0.00036522646003694676,0.014762607182238627,0.002787174191325903,0.00025738371899603743,0.012284788655733916
48,0.004440226481251773,0.0004100360945343717,0.0157862058665283,0.003052791916868753,0.00028191238225758436,0.013434617278192371
49,0.0044284657952153965,0.0004089500307613175,0.015555753495506246,0.00502757215872407,0.00046427495316321706,0.016901725823870017
50,0.005626665051316931,0.0005195986791064857,0.018047041306702396,0.006678300081855721,0.0006167126810224495,0.01999609940878392
51,0.004960415707457633,0.0004580733449050697,0.016869012678553497,0.005439717581288682,0.0005023348777909645,0.018699789521706044
52,0.006074939455304827,0.0005609948833218628,0.018848188848072985,0.004236553692155414,0.0003912277013112854,0.01600041555528024
53,0.006024896211567379,0.0005563736187849698,0.018897269806345613,0.0026280725141987205,0.0002426913635153478,0.011985727935419879
54,0.004397623373993805,0.00040610185613623164,0.015469920321737695,0.003494492938949002,0.0003227016102417587,0.013835930178480428
55,0.003395441099114361,0.0003135545769239935,0.0136337270671173,0.003366639488376677,0.00031089488130666196,0.013475305141830655
56,0.003788817762618973,0.0003498812611846951,0.014601375163660545,0.0030199073048101533,0.00027887563124883894,0.013239498755232018
57,0.004433139205156337,0.00040938160842246167,0.016045813649730414,0.0029162559140887526,0.0002693038715915564,0.012959212740196452
58,0.0037874096028861545,0.0003497511999241635,0.01444359064045689,0.0029490392706874344,0.0002723312578918263,0.01317454820973495
59,0.004155910729120175,0.00038378072509379275,0.015352162781611237,0.0030210421472373935,0.00027898042125554294,0.013765569284121723
60,0.003088021163074743,0.0002851656531516592,0.013180364226029683,0.0027984125255089668,0.0002584215325667359,0.01304070932420991
61,0.003377010679936835,0.00031185259495801595,0.013865809394295988,0.0034109504324280554,0.00031498684087071123,0.013547926861123527
62,0.0034590707315752902,0.0003194305097017489,0.013627577720448689,0.002562633508609401,0.00023664836398536426,0.012449321725738845
63,0.002888599643483758,0.00026674992105910577,0.012667933986865353,0.0020971324993297458,0.0001936612734154089,0.010760409980929971
64,0.002750406762407649,0.000253988400338188,0.012300873785554388,0.0026044251086811223,0.0002405076041084551,0.011762023038004827
65,0.0025796188108090845,0.00023821684329099096,0.011990458839342397,0.002125194554941522,0.00019625272043770093,0.011059059366592062
